"","k","n","f","alpha","power"
"132",3,300.304950979734,0.1,0.02,0.2
"733",3,26.6231204689908,0.4,0.02,0.25
"633",3,33.498844398376,0.35,0.02,0.25
"533",3,44.1107878223389,0.3,0.02,0.25
"433",3,61.7317783768959,0.25,0.02,0.25
"333",3,94.1958130376577,0.2,0.02,0.25
"233",3,164.364522887687,0.15,0.02,0.25
"133",3,364.885591940404,0.1,0.02,0.25
"734",3,30.545249805749,0.4,0.02,0.3
"634",3,38.6254604526775,0.35,0.02,0.3
"534",3,51.0929354344145,0.3,0.02,0.3
"434",3,71.7905572687089,0.25,0.02,0.3
"334",3,109.917106178199,0.2,0.02,0.3
"234",3,192.31767366191,0.15,0.02,0.3
"134",3,427.783902404956,0.1,0.02,0.3
"735",3,34.4385476206996,0.4,0.02,0.35
"635",3,43.7140481016623,0.35,0.02,0.35
"535",3,58.0227650754106,0.3,0.02,0.35
"435",3,81.7732728377583,0.25,0.02,0.35
"335",3,125.518670774791,0.2,0.02,0.35
"235",3,220.057121835908,0.15,0.02,0.35
"135",3,490.200633221702,0.1,0.02,0.35
"736",3,38.3627391662808,0.4,0.02,0.4
"636",3,48.8426625687859,0.35,0.02,0.4
"536",3,65.006604422808,0.3,0.02,0.4
"436",3,91.8332066986976,0.25,0.02,0.4
"336",3,141.240391957327,0.2,0.02,0.4
"236",3,248.009544474458,0.15,0.02,0.4
"136",3,553.096013344724,0.1,0.02,0.4
"737",3,42.3720497247342,0.4,0.02,0.45
"637",3,54.082173660487,0.35,0.02,0.45
"537",3,72.1410569047045,0.3,0.02,0.45
"437",3,102.109676725123,0.25,0.02,0.45
"337",3,157.299966360616,0.2,0.02,0.45
"237",3,276.562317933147,0.15,0.02,0.45
"137",3,617.34182822477,0.1,0.02,0.45
"738",3,46.5216137078677,0.4,0.02,0.5
"638",3,59.5046523523492,0.35,0.02,0.5
"538",3,79.5243372679361,0.3,0.02,0.5
"438",3,112.744095129541,0.25,0.02,0.5
"338",3,173.918599057943,0.2,0.02,0.5
"238",3,306.10863797617,0.15,0.02,0.5
"138",3,683.822869589789,0.1,0.02,0.5
"739",3,50.8730573267319,0.4,0.02,0.55
"639",3,65.1906653611338,0.35,0.02,0.55
"539",3,87.2660794714224,0.3,0.02,0.55
"439",3,123.894510090129,0.25,0.02,0.55
"339",3,191.343242153366,0.2,0.02,0.55
"239",3,337.087662671086,0.15,0.02,0.55
"139",3,753.527296612068,0.1,0.02,0.55
"740",3,55.501091650553,0.4,0.02,0.6
"640",3,71.2378181680112,0.35,0.02,0.6
"540",3,95.4992147562002,0.3,0.02,0.6
"440",3,135.75238581643,0.25,0.02,0.6
"340",3,209.873128479706,0.2,0.02,0.6
"240",3,370.031414323499,0.15,0.02,0.6
"140",3,827.652218405225,0.1,0.02,0.6
"741",3,60.5029792545362,0.4,0.02,0.65
"641",3,77.7731911485238,0.35,0.02,0.65
"541",3,104.396771126315,0.3,0.02,0.65
"441",3,148.566908874195,0.25,0.02,0.65
"341",3,229.897648009759,0.2,0.02,0.65
"241",3,405.632198219071,0.15,0.02,0.65
"141",3,907.755392309114,0.1,0.02,0.65
"742",3,66.0142493581244,0.4,0.02,0.7
"642",3,84.973769829103,0.35,0.02,0.7
"542",3,114.199744020368,0.3,0.02,0.7
"442",3,162.685121421108,0.25,0.02,0.7
"342",3,251.959136213176,0.2,0.02,0.7
"242",3,444.85417738874,0.15,0.02,0.7
"142",3,996.006199802434,0.1,0.02,0.7
"743",3,72.2377416083373,0.4,0.02,0.75
"643",3,93.1046856692058,0.35,0.02,0.75
"543",3,125.268867629806,0.3,0.02,0.75
"443",3,178.626653123342,0.25,0.02,0.75
"343",3,276.869543796859,0.2,0.02,0.75
"243",3,489.140782512472,0.15,0.02,0.75
"143",3,1095.65231660681,0.1,0.02,0.75
"744",3,79.5046282434414,0.4,0.02,0.8
"644",3,102.598439739331,0.35,0.02,0.8
"544",3,138.193081334589,0.3,0.02,0.8
"444",3,197.239466547175,0.25,0.02,0.8
"344",3,305.953788620041,0.2,0.02,0.8
"244",3,540.847655660418,0.15,0.02,0.8
"144",3,1211.99407625223,0.1,0.02,0.8
"745",3,12.0883203509573,0.4,0.025,0.1
"645",3,14.5553060270196,0.35,0.025,0.1
"545",3,18.3709575297645,0.3,0.025,0.1
"445",3,24.7220025787752,0.25,0.025,0.1
"345",3,36.4473578650577,0.2,0.025,0.1
"245",3,61.8277956605427,0.15,0.025,0.1
"145",3,134.412924645362,0.1,0.025,0.1
"746",3,16.455516100344,0.4,0.025,0.15
"646",3,20.2637153302039,0.35,0.025,0.15
"546",3,26.1509942104848,0.3,0.025,0.15
"446",3,35.9406710985224,0.25,0.025,0.15
"346",3,53.9956515970032,0.2,0.025,0.15
"246",3,93.0456179645429,0.15,0.025,0.15
"146",3,204.673751089985,0.1,0.025,0.15
"747",3,20.4798890360498,0.4,0.025,0.2
"647",3,25.5270071587971,0.35,0.025,0.2
"547",3,33.3241410048276,0.3,0.025,0.2
"447",3,46.2808278697786,0.25,0.025,0.2
"347",3,70.1637327962059,0.2,0.025,0.2
"247",3,121.800333197721,0.15,0.025,0.2
"147",3,269.382655863258,0.1,0.025,0.2
"748",3,24.3246263181885,0.4,0.025,0.25
"648",3,30.555062424048,0.35,0.025,0.25
"548",3,40.1752427647814,0.3,0.025,0.25
"448",3,56.1543327071823,0.25,0.025,0.25
"348",3,85.5990134288991,0.2,0.025,0.25
"248",3,149.248324664982,0.15,0.025,0.25
"148",3,331.147509069335,0.1,0.025,0.25
"749",3,28.0855974621023,0.4,0.025,0.3
"649",3,35.4728020177007,0.35,0.025,0.3
"549",3,46.874807432259,0.3,0.025,0.3
"449",3,65.80778244746,0.25,0.025,0.3
"349",3,100.688465931044,0.2,0.025,0.3
"249",3,176.079598016485,0.15,0.025,0.3
"149",3,391.522725919645,0.1,0.025,0.3
"750",3,31.830417537718,0.4,0.025,0.35
"650",3,40.3688471442874,0.35,0.025,0.35
"550",3,53.5437861753706,0.3,0.025,0.35
"450",3,75.4160135755051,0.25,0.025,0.35
"350",3,115.706047788811,0.2,0.025,0.35
"250",3,202.781814063296,0.15,0.025,0.35
"150",3,451.606494915237,0.1,0.025,0.35
"751",3,35.6144980588553,0.4,0.025,0.4
"651",3,45.3154455363835,0.35,0.025,0.4
"551",3,60.2808939526497,0.3,0.025,0.4
"451",3,85.1216093368687,0.25,0.025,0.4
"351",3,130.874876546138,0.2,0.025,0.4
"251",3,229.752015901293,0.15,0.025,0.4
"151",3,512.292555648949,0.1,0.025,0.4
"752",3,39.4887699514407,0.4,0.025,0.45
"652",3,50.3794534686846,0.35,0.025,0.45
"552",3,67.1772918345584,0.3,0.025,0.45
